State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Months,Temperature,Rainfall,Humidity,Sun hours
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Banana,5.176149733,6.464588304,1.5351551,December,5.291502622,10.05224488,2.32430201,2.915475947
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,5.365976015,7.153833802,1.945910149,September,5.099019514,14.0467932,2.268019946,2.983286778
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry chillies,6.025865974,3.394508394,0.067409698,June,5.347896783,10.42064928,2.323771038,2.898275349
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,5.587248658,7.475339237,2.031802031,October,4.647580015,-8.153094892,2.23072639,3.049590136
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry chillies,4.110873864,4.634728988,0.993251773,November,5.48634669,-7.754100666,2.243487718,3.098386677
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Banana,4.21094171,6.00418332,1.957882755,September,5.128352562,14.18331537,2.273368475,2.898275349
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry chillies,4.110873864,4.984975547,1.229640551,March,5.128352562,14.18331537,2.273368475,2.898275349
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Banana,3.135494216,6.368187186,3.312531745,February,5.272570531,10.77357716,2.315734267,2.949576241
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Banana,5.293304825,6.884486652,1.77990497,June,4.75394573,-7.813550443,2.230079171,3.049590136
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry chillies,1.386294361,2.302585093,1.386294361,August,4.75394573,-7.813550443,2.230079171,3.049590136
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Dry chillies,2.564949357,3.258096538,1.126011263,March,4.049691346,-12.32710161,2.185268375,3.033150178
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Banana,6.386879319,8.139148679,1.913345146,October,5.458937626,7.810845446,2.303694903,2.898275349
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Banana,7.33432935,9.398809659,2.18444275,April,5.709640969,-9.034400984,2.242227004,3.098386677
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Banana,6.865442591,9.057538782,2.298804865,December,4.795831523,-8.052747892,2.243487718,3.130495168
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Dry chillies,5.466878008,6.715746957,1.503398395,January,5.567764363,-9.097229839,2.224213873,3.065941943
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Dry chillies,5.541263545,5.998936562,0.948826522,September,5.468089246,10.80175687,2.321641182,2.949576241
